action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,,64549,[],CHEMBL671342,Binding affinity of compound to Dopamine receptor D2,B,,,BAO_0000190,BAO_0000357,single protein format,Nc1cccc(-c2ccc(CCN3CCN(CC(=O)c4ccccc4)CC3)cc2)n1,,,CHEMBL1131962,Bioorg Med Chem Lett,1999.0,,CHEMBL40391,,CHEMBL40391,,0,http://www.openphacts.org/units/Nanomolar,155829,>,1,1,>,,IC50,nM,,10000.0,CHEMBL217,Homo sapiens,Dopamine D2 receptor,9606,,,IC50,nM,UO_0000065,,10000.0
,,65943,[],CHEMBL671073,Binding affinity to cloned human Dopamine receptor D2 expressed in A9L cells by [3H]spiperone displacement.,B,,,BAO_0000190,BAO_0000219,cell-based format,COc1cccc(-c2cccc(CN3CCN(c4ncccn4)CC3)c2)c1,,,CHEMBL1130912,Bioorg Med Chem Lett,1998.0,"{'bei': '17.50', 'le': '0.32', 'lle': '2.84', 'sei': '15.21'}",CHEMBL64671,,CHEMBL64671,6.31,0,http://www.openphacts.org/units/Nanomolar,108664,=,1,1,=,,IC50,nM,,490.0,CHEMBL217,Homo sapiens,Dopamine D2 receptor,9606,,,IC50,nM,UO_0000065,,490.0
,,67125,[],CHEMBL671073,Binding affinity to cloned human Dopamine receptor D2 expressed in A9L cells by [3H]spiperone displacement.,B,,,BAO_0000190,BAO_0000219,cell-based format,Fc1cccc(-c2cccc(CN3CCN(c4ncccn4)CC3)c2)c1,,,CHEMBL1130912,Bioorg Med Chem Lett,1998.0,"{'bei': '20.35', 'le': '0.37', 'lle': '3.49', 'sei': '21.98'}",CHEMBL62829,,CHEMBL62829,7.09,0,http://www.openphacts.org/units/Nanomolar,108657,=,1,1,=,,IC50,nM,,81.0,CHEMBL217,Homo sapiens,Dopamine D2 receptor,9606,,,IC50,nM,UO_0000065,,81.0
,,67130,[],CHEMBL671073,Binding affinity to cloned human Dopamine receptor D2 expressed in A9L cells by [3H]spiperone displacement.,B,,,BAO_0000190,BAO_0000219,cell-based format,CC(C)Oc1cccnc1N(C)C1CCN(Cc2ccccc2)CC1.O=C(O)/C=C\C(=O)O,,,CHEMBL1130912,Bioorg Med Chem Lett,1998.0,"{'bei': '18.29', 'le': '0.34', 'lle': '2.24', 'sei': '21.70'}",CHEMBL64119,,CHEMBL1179189,6.21,0,http://www.openphacts.org/units/Nanomolar,108667,=,1,1,=,,IC50,nM,,620.0,CHEMBL217,Homo sapiens,Dopamine D2 receptor,9606,,,IC50,nM,UO_0000065,,620.0
,,68341,[],CHEMBL671073,Binding affinity to cloned human Dopamine receptor D2 expressed in A9L cells by [3H]spiperone displacement.,B,,,BAO_0000190,BAO_0000219,cell-based format,Fc1ccc(-c2cncc(CN3CCN(c4ccccc4)CC3)c2)cc1,,,CHEMBL1130912,Bioorg Med Chem Lett,1998.0,"{'bei': '21.98', 'le': '0.40', 'lle': '3.43', 'sei': '39.43'}",CHEMBL302904,,CHEMBL302904,7.64,0,http://www.openphacts.org/units/Nanomolar,108656,=,1,1,=,,IC50,nM,,23.0,CHEMBL217,Homo sapiens,Dopamine D2 receptor,9606,,,IC50,nM,UO_0000065,,23.0
,,69658,[],CHEMBL671073,Binding affinity to cloned human Dopamine receptor D2 expressed in A9L cells by [3H]spiperone displacement.,B,,,BAO_0000190,BAO_0000219,cell-based format,Fc1ccc(-c2cncc(CN3CCN(c4cnccn4)CC3)c2)cc1,,,CHEMBL1130912,Bioorg Med Chem Lett,1998.0,"{'bei': '18.16', 'le': '0.33', 'lle': '3.35', 'sei': '14.06'}",CHEMBL60957,,CHEMBL60957,6.35,0,http://www.openphacts.org/units/Nanomolar,108655,=,1,1,=,,IC50,nM,,450.0,CHEMBL217,Homo sapiens,Dopamine D2 receptor,9606,,,IC50,nM,UO_0000065,,450.0
,,188330,[],CHEMBL672303,Inhibitory concentration against binding of Dopamine receptor D2 by displacement of [3H]spiperone,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(NC[C@H]1CCCN1CCc1ccccc1)C1CCCCC1,,,CHEMBL1133417,Bioorg Med Chem Lett,2000.0,,CHEMBL82652,,CHEMBL82652,,0,http://www.openphacts.org/units/Nanomolar,289090,>,1,1,>,,IC50,nM,,1000.0,CHEMBL217,Homo sapiens,Dopamine D2 receptor,9606,,,IC50,nM l-1,UO_0000065,,1000.0
,,190680,[],CHEMBL672303,Inhibitory concentration against binding of Dopamine receptor D2 by displacement of [3H]spiperone,B,,,BAO_0000190,BAO_0000357,single protein format,CSc1cccc(C(=O)NC[C@@H]2CCCN2CCc2ccccc2)c1,,,CHEMBL1133417,Bioorg Med Chem Lett,2000.0,,CHEMBL356304,,CHEMBL356304,,0,http://www.openphacts.org/units/Nanomolar,289095,>,1,1,>,,IC50,nM,,1000.0,CHEMBL217,Homo sapiens,Dopamine D2 receptor,9606,,,IC50,nM l-1,UO_0000065,,1000.0
,,193080,[],CHEMBL672303,Inhibitory concentration against binding of Dopamine receptor D2 by displacement of [3H]spiperone,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(NC[C@@H]1CCCN1CCc1ccccc1)c1ccccc1,,,CHEMBL1133417,Bioorg Med Chem Lett,2000.0,,CHEMBL147279,,CHEMBL147279,,0,http://www.openphacts.org/units/Nanomolar,289093,>,1,1,>,,IC50,nM,,1000.0,CHEMBL217,Homo sapiens,Dopamine D2 receptor,9606,,,IC50,nM l-1,UO_0000065,,1000.0
,,203695,[],CHEMBL672303,Inhibitory concentration against binding of Dopamine receptor D2 by displacement of [3H]spiperone,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(NC[C@@H]1CCCN1CCc1ccccc1)C1CCCCC1,,,CHEMBL1133417,Bioorg Med Chem Lett,2000.0,,CHEMBL82884,,CHEMBL82884,,0,http://www.openphacts.org/units/Nanomolar,289091,>,1,1,>,,IC50,nM,,1000.0,CHEMBL217,Homo sapiens,Dopamine D2 receptor,9606,,,IC50,nM l-1,UO_0000065,,1000.0
,,204966,[],CHEMBL672303,Inhibitory concentration against binding of Dopamine receptor D2 by displacement of [3H]spiperone,B,,,BAO_0000190,BAO_0000357,single protein format,CSc1cccc(C(=O)NC[C@H]2CCCN2CCc2ccccc2)c1,,,CHEMBL1133417,Bioorg Med Chem Lett,2000.0,,CHEMBL148249,,CHEMBL148249,,0,http://www.openphacts.org/units/Nanomolar,289094,>,1,1,>,,IC50,nM,,1000.0,CHEMBL217,Homo sapiens,Dopamine D2 receptor,9606,,,IC50,nM l-1,UO_0000065,,1000.0
,,209687,[],CHEMBL672303,Inhibitory concentration against binding of Dopamine receptor D2 by displacement of [3H]spiperone,B,,,BAO_0000190,BAO_0000357,single protein format,CCCN(CCC)C1CCc2cccc(O)c2C1,,,CHEMBL1133417,Bioorg Med Chem Lett,2000.0,,CHEMBL56,8-OH-DPAT,CHEMBL56,,0,http://www.openphacts.org/units/Nanomolar,289089,>,1,1,>,,IC50,nM,,1000.0,CHEMBL217,Homo sapiens,Dopamine D2 receptor,9606,,,IC50,nM l-1,UO_0000065,,1000.0
,,217956,[],CHEMBL672303,Inhibitory concentration against binding of Dopamine receptor D2 by displacement of [3H]spiperone,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(NC[C@H]1CCCN1CCc1ccccc1)c1ccccc1,,,CHEMBL1133417,Bioorg Med Chem Lett,2000.0,,CHEMBL147226,,CHEMBL147226,,0,http://www.openphacts.org/units/Nanomolar,289092,>,1,1,>,,IC50,nM,,1000.0,CHEMBL217,Homo sapiens,Dopamine D2 receptor,9606,,,IC50,nM l-1,UO_0000065,,1000.0
,,268104,[],CHEMBL671074,"Binding affinity to dopamine receptor D2 cloned from human, using [3H]- YM09151 as competitive ligand",B,,,BAO_0000190,BAO_0000357,single protein format,Br.Clc1ccc(N2CCN(C[C@H]3C[C@@H]3c3ccccc3)CC2)c(Cl)c1,,,CHEMBL1133592,J Med Chem,2000.0,"{'bei': '19.89', 'le': '0.41', 'lle': '2.27', 'sei': '110.91'}",CHEMBL1204116,,CHEMBL302075,7.19,0,http://www.openphacts.org/units/Nanomolar,244361,=,1,1,=,,IC50,nM,,65.0,CHEMBL217,Homo sapiens,Dopamine D2 receptor,9606,,,IC50,nM,UO_0000065,,65.0
,,270782,[],CHEMBL671074,"Binding affinity to dopamine receptor D2 cloned from human, using [3H]- YM09151 as competitive ligand",B,,,BAO_0000190,BAO_0000357,single protein format,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,,,CHEMBL1133592,J Med Chem,2000.0,"{'bei': '21.26', 'le': '0.41', 'lle': '3.23', 'sei': '22.50'}",CHEMBL42,CLOZAPINE,CHEMBL42,6.95,0,http://www.openphacts.org/units/Nanomolar,244353,=,1,1,=,,IC50,nM,,113.0,CHEMBL217,Homo sapiens,Dopamine D2 receptor,9606,,,IC50,nM,UO_0000065,,113.0
,,272116,[],CHEMBL671074,"Binding affinity to dopamine receptor D2 cloned from human, using [3H]- YM09151 as competitive ligand",B,,,BAO_0000190,BAO_0000357,single protein format,Cl.c1ccc([C@H]2C[C@@H]2CN2CCN(c3ccccn3)CC2)cc1,,,CHEMBL1133592,J Med Chem,2000.0,"{'bei': '22.43', 'le': '0.41', 'lle': '3.57', 'sei': '33.97'}",CHEMBL1203260,,CHEMBL126318,6.58,0,http://www.openphacts.org/units/Nanomolar,244347,=,1,1,=,,IC50,nM,,263.0,CHEMBL217,Homo sapiens,Dopamine D2 receptor,9606,,,IC50,nM,UO_0000065,,263.0
,,272119,[],CHEMBL671074,"Binding affinity to dopamine receptor D2 cloned from human, using [3H]- YM09151 as competitive ligand",B,,,BAO_0000190,BAO_0000357,single protein format,Br.c1ccc([C@H]2C[C@@H]2CN2CCN(c3cccnc3)CC2)cc1,,,CHEMBL1133592,J Med Chem,2000.0,,CHEMBL1202203,,CHEMBL126317,,0,http://www.openphacts.org/units/Nanomolar,244346,>,1,1,>,,IC50,nM,,10000.0,CHEMBL217,Homo sapiens,Dopamine D2 receptor,9606,,,IC50,nM,UO_0000065,,10000.0
,,272122,[],CHEMBL671074,"Binding affinity to dopamine receptor D2 cloned from human, using [3H]- YM09151 as competitive ligand",B,,,BAO_0000190,BAO_0000357,single protein format,Br.Fc1ccc([C@H]2C[C@@H]2CN2CCN(c3ccc(Cl)cc3)CC2)cc1,,,CHEMBL1133592,J Med Chem,2000.0,"{'bei': '19.41', 'le': '0.38', 'lle': '2.29', 'sei': '103.31'}",CHEMBL1202222,,CHEMBL126792,6.70,0,http://www.openphacts.org/units/Nanomolar,244339,=,1,1,=,,IC50,nM,,202.0,CHEMBL217,Homo sapiens,Dopamine D2 receptor,9606,,,IC50,nM,UO_0000065,,202.0
,,273255,[],CHEMBL671074,"Binding affinity to dopamine receptor D2 cloned from human, using [3H]- YM09151 as competitive ligand",B,,,BAO_0000190,BAO_0000357,single protein format,Br.Cc1ccc(N2CCN(CC3CC3c3ccccc3)CC2)c(C)c1,,,CHEMBL1133592,J Med Chem,2000.0,"{'bei': '22.53', 'le': '0.41', 'lle': '2.99', 'sei': '111.45'}",CHEMBL2092961,,CHEMBL2109988,7.22,0,http://www.openphacts.org/units/Nanomolar,244352,=,1,1,=,,IC50,nM,,60.0,CHEMBL217,Homo sapiens,Dopamine D2 receptor,9606,,,IC50,nM,UO_0000065,,60.0
,,274429,[],CHEMBL671074,"Binding affinity to dopamine receptor D2 cloned from human, using [3H]- YM09151 as competitive ligand",B,,,BAO_0000190,BAO_0000357,single protein format,Br.COc1cc(Cl)ccc1N1CCN(C[C@H]2C[C@@H]2c2ccccc2)CC1,,,CHEMBL1133592,J Med Chem,2000.0,"{'bei': '21.77', 'le': '0.42', 'lle': '3.50', 'sei': '49.46'}",CHEMBL1202211,,CHEMBL126032,7.77,0,http://www.openphacts.org/units/Nanomolar,244358,=,1,1,=,,IC50,nM,,17.0,CHEMBL217,Homo sapiens,Dopamine D2 receptor,9606,,,IC50,nM,UO_0000065,,17.0
,,277005,[],CHEMBL671074,"Binding affinity to dopamine receptor D2 cloned from human, using [3H]- YM09151 as competitive ligand",B,,,BAO_0000190,BAO_0000357,single protein format,Br.Clc1cccc(N2CCN(C[C@H]3C[C@@H]3c3ccccc3)CC2)c1Cl,,,CHEMBL1133592,J Med Chem,2000.0,"{'bei': '24.08', 'le': '0.50', 'lle': '3.78', 'sei': '134.24'}",CHEMBL1202213,,CHEMBL341310,8.70,0,http://www.openphacts.org/units/Nanomolar,244363,=,1,1,=,,IC50,nM,,2.0,CHEMBL217,Homo sapiens,Dopamine D2 receptor,9606,,,IC50,nM,UO_0000065,,2.0
,,277008,[],CHEMBL671074,"Binding affinity to dopamine receptor D2 cloned from human, using [3H]- YM09151 as competitive ligand",B,,,BAO_0000190,BAO_0000357,single protein format,Clc1ccc(N2CCN(C[C@@H]3C[C@H]3c3ccccc3)CC2)c(Cl)c1,,,CHEMBL1133592,J Med Chem,2000.0,"{'bei': '19.91', 'le': '0.41', 'lle': '2.27', 'sei': '111.02'}",CHEMBL125455,,CHEMBL125455,7.19,0,http://www.openphacts.org/units/Nanomolar,244360,=,1,1,=,,IC50,nM,,64.0,CHEMBL217,Homo sapiens,Dopamine D2 receptor,9606,,,IC50,nM,UO_0000065,,64.0
,,278120,[],CHEMBL671074,"Binding affinity to dopamine receptor D2 cloned from human, using [3H]- YM09151 as competitive ligand",B,,,BAO_0000190,BAO_0000357,single protein format,Br.COc1ccccc1N1CCN(C[C@H]2C[C@@H]2c2ccccc2)CC1,,,CHEMBL1133592,J Med Chem,2000.0,"{'bei': '25.74', 'le': '0.47', 'lle': '4.68', 'sei': '52.84'}",CHEMBL1202216,,CHEMBL126509,8.30,0,http://www.openphacts.org/units/Nanomolar,244332,=,1,1,=,,IC50,nM,,5.0,CHEMBL217,Homo sapiens,Dopamine D2 receptor,9606,,,IC50,nM,UO_0000065,,5.0
,,278123,[],CHEMBL671074,"Binding affinity to dopamine receptor D2 cloned from human, using [3H]- YM09151 as competitive ligand",B,,,BAO_0000190,BAO_0000357,single protein format,Br.COc1cccc(N2CCN(C[C@H]3C[C@@H]3c3ccccc3)CC2)c1,,,CHEMBL1133592,J Med Chem,2000.0,"{'bei': '20.99', 'le': '0.39', 'lle': '3.15', 'sei': '43.07'}",CHEMBL1202217,,CHEMBL125910,6.77,0,http://www.openphacts.org/units/Nanomolar,244333,=,1,1,=,,IC50,nM,,171.0,CHEMBL217,Homo sapiens,Dopamine D2 receptor,9606,,,IC50,nM,UO_0000065,,171.0
,,282922,[],CHEMBL671074,"Binding affinity to dopamine receptor D2 cloned from human, using [3H]- YM09151 as competitive ligand",B,,,BAO_0000190,BAO_0000357,single protein format,Br.Oc1ccc([C@H]2C[C@@H]2CN2CCN(c3ccc(Cl)cc3Cl)CC2)cc1,,,CHEMBL1133592,J Med Chem,2000.0,"{'bei': '20.99', 'le': '0.43', 'lle': '3.30', 'sei': '29.65'}",CHEMBL1202202,,CHEMBL126126,7.92,0,http://www.openphacts.org/units/Nanomolar,244342,=,1,1,=,,IC50,nM,,12.0,CHEMBL217,Homo sapiens,Dopamine D2 receptor,9606,,,IC50,nM,UO_0000065,,12.0
,,285300,[],CHEMBL671074,"Binding affinity to dopamine receptor D2 cloned from human, using [3H]- YM09151 as competitive ligand",B,,,BAO_0000190,BAO_0000357,single protein format,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,,,CHEMBL1133592,J Med Chem,2000.0,"{'bei': '22.34', 'le': '0.44', 'lle': '3.97', 'sei': '20.72'}",CHEMBL54,HALOPERIDOL,CHEMBL54,8.40,0,http://www.openphacts.org/units/Nanomolar,244338,=,1,1,=,,IC50,nM,,4.0,CHEMBL217,Homo sapiens,Dopamine D2 receptor,9606,,,IC50,nM,UO_0000065,,4.0
,,286421,[],CHEMBL671074,"Binding affinity to dopamine receptor D2 cloned from human, using [3H]- YM09151 as competitive ligand",B,,,BAO_0000190,BAO_0000357,single protein format,Br.Clc1cccc(N2CCN(C[C@H]3C[C@@H]3c3ccccc3)CC2)c1,,,CHEMBL1133592,J Med Chem,2000.0,"{'bei': '20.91', 'le': '0.41', 'lle': '2.57', 'sei': '105.49'}",CHEMBL1202221,,CHEMBL126182,6.84,0,http://www.openphacts.org/units/Nanomolar,244335,=,1,1,=,,IC50,nM,,146.0,CHEMBL217,Homo sapiens,Dopamine D2 receptor,9606,,,IC50,nM,UO_0000065,,146.0
,,286424,[],CHEMBL671074,"Binding affinity to dopamine receptor D2 cloned from human, using [3H]- YM09151 as competitive ligand",B,,,BAO_0000190,BAO_0000357,single protein format,Br.Clc1ccc(N2CCN(C[C@H]3C[C@@H]3c3ccccc3)CC2)cc1,,,CHEMBL1133592,J Med Chem,2000.0,"{'bei': '20.22', 'le': '0.39', 'lle': '2.34', 'sei': '101.99'}",CHEMBL1202220,,CHEMBL419610,6.61,0,http://www.openphacts.org/units/Nanomolar,244334,=,1,1,=,,IC50,nM,,246.0,CHEMBL217,Homo sapiens,Dopamine D2 receptor,9606,,,IC50,nM,UO_0000065,,246.0
,,286427,[],CHEMBL671074,"Binding affinity to dopamine receptor D2 cloned from human, using [3H]- YM09151 as competitive ligand",B,,,BAO_0000190,BAO_0000357,single protein format,Cl.c1ccc([C@H]2C[C@@H]2CN2CCN(c3ncccn3)CC2)cc1,,,CHEMBL1133592,J Med Chem,2000.0,"{'bei': '20.77', 'le': '0.38', 'lle': '3.72', 'sei': '18.96'}",CHEMBL1203257,,CHEMBL126847,6.12,0,http://www.openphacts.org/units/Nanomolar,244344,=,1,1,=,,IC50,nM,,766.0,CHEMBL217,Homo sapiens,Dopamine D2 receptor,9606,,,IC50,nM,UO_0000065,,766.0
,,286430,[],CHEMBL671074,"Binding affinity to dopamine receptor D2 cloned from human, using [3H]- YM09151 as competitive ligand",B,,,BAO_0000190,BAO_0000357,single protein format,Br.Fc1ccc([C@H]2C[C@@H]2CN2CCN(c3ccccc3Cl)CC2)cc1,,,CHEMBL1133592,J Med Chem,2000.0,"{'bei': '22.87', 'le': '0.45', 'lle': '3.49', 'sei': '121.70'}",CHEMBL1202219,,CHEMBL126322,7.89,0,http://www.openphacts.org/units/Nanomolar,244341,=,1,1,=,,IC50,nM,,13.0,CHEMBL217,Homo sapiens,Dopamine D2 receptor,9606,,,IC50,nM,UO_0000065,,13.0
,,287574,[],CHEMBL671074,"Binding affinity to dopamine receptor D2 cloned from human, using [3H]- YM09151 as competitive ligand",B,,,BAO_0000190,BAO_0000357,single protein format,Br.Cc1cc(Cl)ccc1N1CCN(C[C@H]2C[C@@H]2c2ccccc2)CC1,,,CHEMBL1133592,J Med Chem,2000.0,"{'bei': '20.22', 'le': '0.39', 'lle': '2.32', 'sei': '106.37'}",CHEMBL1202210,,CHEMBL338183,6.89,0,http://www.openphacts.org/units/Nanomolar,244356,=,1,1,=,,IC50,nM,,128.0,CHEMBL217,Homo sapiens,Dopamine D2 receptor,9606,,,IC50,nM,UO_0000065,,128.0
